# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
83   8.3000    0.671230    0.741249    0.567462    0.823400    0.258751    0.435352
84   8.4000    0.744725    0.667372    0.653780    0.756684    0.332628    0.575944
85   8.5000    0.754745    0.656018    0.748612    0.663008    0.343982    0.680974
86   8.6000    0.711669    0.702515    0.832016    0.554752    0.297485    0.742732
87   8.7000    0.623280    0.781999    0.885821    0.464028    0.218001    0.753973
88   8.8000    0.498716    0.866766    0.902899    0.429852    0.133234    0.703382
89   8.9000    0.351236    0.936287    0.877325    0.479896    0.063713    0.583817
90   9.0000    0.205804    0.978593    0.783088    0.621911    0.021407    0.399496
91   9.1000    0.103168    0.994664    0.563403    0.826182    0.005336    0.179154
92   9.2000    0.083788    0.996484    0.157825    0.987467    0.003516    0.016049
93   9.3000    0.083928    0.996472   -0.311937    0.950103    0.003528    0.053425
94   9.4000   -0.010162    0.999948   -0.628243    0.778017    0.000052    0.222034
95   9.5000   -0.190266    0.981733   -0.778185    0.628035    0.018267    0.390233
96   9.6000   -0.407839    0.913054   -0.816830    0.576878    0.086946    0.510068
97   9.7000   -0.614294    0.789077   -0.780735    0.624862    0.210923    0.586061
98   9.8000   -0.763144    0.646228   -0.702384    0.711798    0.353772    0.641974
99   9.9000   -0.835661    0.549246   -0.626524    0.779402    0.450754    0.671352
100  10.0000   -0.845740    0.533596   -0.573743    0.819035    0.466404    0.647369
